name,address,thana,district,type,capacity,quantity,model,brand,serial,receipt
দোলা জুয়েলার্স,পয়সারহাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444217
মা জুয়েলার্স,পয়সারহাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444218
পুজা অলংকার ভবন,পয়সারহাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444219
মাতৃ গিনি ভবন,জোবার পাড় বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444220
জয় মা আরতি গিনি ভবন,জোবার পাড় বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444221
ভবতারিনী জুয়েলার্স,উত্তর বড়মাগড়া,Agailjhara,Barishal,dw,0.6,1,none,none,none,444222
জুঁই অলংকার ভবন,বাহাদুরপুর বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444223
মা জ্যোৎস্না গিনি ভবন,বাহাদুরপুর বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444224
সুমা গিনি ভবন,বাহাদুরপুর বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444225
আশীর্বাদ জুয়েলার্স,বাশাইল বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444226
সুভাষ জুয়েলার্স,বড় বাশাইল,Agailjhara,Barishal,dw,0.6,1,none,none,none,444227
বিশ্বজিৎ জুয়েলার্স,বাশাইল বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444228
পবিত্র জুয়েলার্স,বাশাইল বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444229
চৈতী জুয়েলার্স,রাজিহার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444230
তনয় জুয়েলার্স,রাজিহার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444231
আকাশ অলংকার ভবন,আস্‌কর কালিবাড়ি,Agailjhara,Barishal,dw,0.6,1,none,none,none,444232
বাড়ৈ অলংকার ভবন,আস্‌কর কালিবাড়ি,Agailjhara,Barishal,dw,0.6,1,none,none,none,444233
বাবা মার আশির্বাদ গিনি ভবন,আস্‌কর কালিবাড়ি,Agailjhara,Barishal,dw,0.6,1,none,none,none,444234
উৎসব গিনি ভবন,সাহেবের হাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444235
চৌধুরী গিনি ভবন,সাহেবের হাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444236
মন্ডল গিনি ভবন,সাহেবের হাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444237
সৌরভ গিনি ভবন,সাহেবের হাট,Agailjhara,Barishal,dw,0.6,1,none,none,none,444238
রতন অলংকার ভবন,রামের বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444239
শ্রী গুরু গিনি ভবন,তালের বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444240
স্বর্ণা অলংকার ভবন,গৈলা রথখোলা,Agailjhara,Barishal,dw,0.6,1,none,none,none,444241
গ্রামীণ গোল্ড হাউজ,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444242
লোকনাথ অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444243
স্বর্ণালী অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444244
সঞ্জীব অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444245
তুয়া অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444246
পুজা অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444247
বাণী অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444248
ব্রজগোপী অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444249
সৌভিক অলংকার ভবন,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444250
শ্রী ধর গিনি প্যালেস,গৈলা বাজার,Agailjhara,Barishal,dw,0.6,1,none,none,none,444251
