name,address,thana,district,type,capacity,quantity,model,brand,serial,receipt
Ajwah Limited,"House -25, Road -8, Block -C, Ward -3, Dhour",Turag,Dhaka,Digital Weight Scale,100,2,none,MEGA,none,359709
Ajwah Limited,"House -25, Road -8, Block -C, Ward -3, Dhour",Turag,Dhaka,Digital Weight Scale,30,3,none,MEGA,none,359709
Ajwah Bake and Pastry,"Shop # 06, Rajlaxmi Complex, Sector #03",Uttara,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"House # 01, Road # 01, Nikunjo-2",Khilkhet,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"SS Complex, Chandona Chowrasta",Joydebpur,Gazipur,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Shop # 2, Ground Floor, 139/A, BISIC Industrial Area, Konabari",Gazipur Sadar,Gazipur,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"House # 5, Road # 1, Sector # 7",Uttara,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Shop # 5, Plot # 73, Wireless Gate, Mohakhali",Gulshan,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Shop # 02, 28 Kafrul, Kochukhet Bazar",Cantonment,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"645 Ashkuna, Dhokkhinkhan",Uttara,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Shop-17, Mohammadpur Kendrio college Market , Tajmahol Road",Mohammadpur,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"House # 36, Road # 4, Block # C, Banasree",Rampura,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"B/41, Haji Khurshid Marker, Khilkhet Moddhopara, Khilkhet Bazar",Khilkhet,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"House# 2/12, Pollobi, Mirpur 11½ Bustand",Mirpur,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Hazi Abdur Rashid Market, West Joydebpur",Gazipur Sadar,Gazipur,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"779, Shewrapar Sustand, Begom Rukeya Shoroni",Mirpur,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
Ajwah Bake and Pastry,"Kibria Mansion, 2No. Shahid Latif Road, Kashaibari Bazar, Dhokkhinkhan",Uttara,Dhaka,Digital Weight Scale,30,1,none,MEGA,none,359709
