name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt,,
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,0.3,1,none,none,none,359906,100,100
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,5,7,none,none,none,359906,100,700
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,15,1,none,none,none,359906,200,200
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,20,5,none,none,none,359906,200,1000
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,30,9,none,none,none,359906,200,1800
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,40,13,none,none,none,359905,200,2600
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,45,2,none,none,none,359906,200,400
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,100,12,none,none,none,359906,300,3600
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Platform Scale,300,1,none,none,none,,300,300
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Platform Scale,500,3,none,none,none,,300,900
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,1000,1,none,none,none,,500,500
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weighbridge Scale,60000,1,none,none,none,,2500,2500
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Oil Filling Nozzle,2500,4,none,none,none,,1000,4000
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Filling Weighing Scale,2500,2,none,none,none,,1000,2000
,,,,,,62,,,,,,20600
,,,,,,,,,,,,2900
,,,,,,,,,,,,17700
,,,,,,,,,,,,2655
,,,,,,,,,,,,20355
