name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,0.3,1,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,5,7,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,15,1,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,20,5,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,30,9,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,40,13,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,45,2,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,100,12,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Platform Scale,300,1,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Platform Scale,500,3,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weight Scale,1000,1,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Digital Weighbridge Scale,60000,1,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Oil Filling Nozzle,2500,4,none,none,none,443398/13.06.24 & 442265/09.05.24
Amrita Consumer Food Products Limited,"Amritanagar, Pangsa, Airport thana",Babuganj,Barishal,Filling Weighing Scale,2500,2,none,none,none,443398/13.06.24 & 442265/09.05.24
