name,address,thana,district,capacity,quantity,brand,model,serial,receipt,type
Bread & BEYOND,"118, 119 DIT Ave/ Rajuk Avenue",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"GF 02, Green City Center, 58 (New Satmasjid Road)",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"Plot 55/1/F, Road 3, Nikunja-2",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"Prime Tower, House- 35 & 8, Nikunja C/A, Banani",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"Ministry of Foreign Affairs, Segunbagicha, Ramna",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND," Road # 15, House # 52 Block # D, Banani",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"24/2/A Bashundhara Rd, Shop no. 4 ",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"SAM Tower, Road# 22 Gulshan 1",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"House# 14, Road# 1, Sector# 3, Jasimuddin Avenue",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"House# 20/3, Sundoram Plaza West Panthapath",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"Khilgaon Chowdhury Para, Plot# C 577(A), Khilgaon",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"62, Gulshan Avenue, Road No: 130, Gulshan South C/A",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND,"Agargoan IDB Bhaban E/8-A, Begum Rokeya, Shameem Sharani",none,Dhaka,30,1,none,none,none,358857,Digital weight scale
Bread & BEYOND (Factory),"1/1-E , Kadamtola, Basabo",none,Dhaka,100,3,none,none,none,358857,Digital weight scale
