name,address,thana,district,type,capacity,quantity,model,brand,serial,receipt
????? ?????????,???? ?????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442786
???? ?????????,???? ?????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442787
????? ?? ???? ????,???? ?????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442788
????? ???? ?? ???? ???? ????,???? ?????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442789
???? ???? ???,???? ?????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442790
????? ?????????,????????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442791
??? ?????????,????????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442792
????? ?????????,????????,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442793
???? ?????????,???????,Gaurnadi,Barishal,Digital Weight Scale,0.6,1,none,none,none,442794
????? ?????????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442795
?????? ?????????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442796
?????? ????? ????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442797
????? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442798
?????? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442799
?? ???? ?????? ????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,442800
???? ????? ???? ???? ?????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443301
??????? ?????????,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443302
?? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443303
???? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443304
??? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443305
????? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443306
??????? ???? ???,???,Agailjhara,Barishal,Digital Weight Scale,0.6,1,none,none,none,443307
