name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt
Fulkoli-South Banasree,"House: 232, Road: 18, Khilgaon",none,Dhaka,Digital weight scale,200,1,MADINA,none,none,358870
Fulkoli-South Banasree,"House: 232, Road: 18, Khilgaon",none,Dhaka,Digital weight scale,40,1,MADINA,none,none,358870
Fulkoli-Volanagar,Jelkhanar Mor,none,Narsingdi,Digital weight scale,40,1,MEGA,none,none,358871
Fulkoli-Volanagar,Jelkhanar Mor,none,Narsingdi,Digital weight scale,40,1,CAMRY,none,none,358871
Fulkoli-Basabo,"Basabo Tempo Stand, Sobujbag",none,Dhaka,Digital weight scale,20,1,XPERT,none,none,358872
Fulkoli-Basabo,"Basabo Tempo Stand, Sobujbag",none,Dhaka,Digital weight scale,40,1,RFL,none,none,358872
Fulkoli-Pollabi,"91/20, Kalshi road, Pallabi",none,Dhaka,Digital weight scale,40,1,XPERT,none,none,358873
Fulkoli-Pollabi,"91/20, Kalshi road, Pallabi",none,Dhaka,Digital weight scale,20,1,RFL,none,none,358873
Fulkoli-Jhigatola,"25/3, Jhigatola, Dhanmondi",none,Dhaka,Digital weight scale,100,1,MEGA,none,none,358874
Fulkoli-Jhigatola,"25/3, Jhigatola, Dhanmondi",none,Dhaka,Digital weight scale,30,1,CAS,none,none,358874
Fulkoli-Badda,"31, Merul Badda",none,Dhaka,Digital weight scale,100,1,RFL,none,none,358875
Fulkoli-Badda,"31, Merul Badda",none,Dhaka,Digital weight scale,40,1,RFL,none,none,358875
Fulkoli-Madobdhi,Madobdhi Bus Stand,none,Narsingdi,Digital weight scale,100,1,DMAC,none,none,358876
Fulkoli-Madobdhi,Madobdhi Bus Stand,none,Narsingdi,Digital weight scale,40,1,DMAC,none,none,358876
Fulkoli-Badda Link Road,Gulshan Link Road,none,Dhaka,Digital weight scale,40,1,RFL,none,none,358877
Fulkoli-Notun Bazar,"Madani Avenue, Notun Bazar, Vatara",none,Dhaka,Digital weight scale,100,1,RFL,none,none,358878
Fulkoli-Notun Bazar,"Madani Avenue, Notun Bazar, Vatara",none,Dhaka,Digital weight scale,40,1,RFL,none,none,358878
Fulkoli-Vulta Gausia,"Nurjahan Tower, Vulta, Rupganj",none,Narayanganj,Digital weight scale,30,2,MADINA,none,none,358879
Fulkoli-Vulta Gausia,"Nurjahan Tower, Vulta, Rupganj",none,Narayanganj,Digital weight scale,50,1,MEGA,none,none,358879
Fulkoli-Rampura,"275 West Rampura, Rampura",none,Dhaka,Digital weight scale,40,1,XPERT,none,none,358880
Fulkoli-Rampura,"275 West Rampura, Rampura",none,Dhaka,Digital weight scale,40,1,RFL,none,none,358880
Fulkoli-Farmgate,"76, Kazi Nazrul Avenue, Farmgate",none,Dhaka,Digital weight scale,50,1,MEGA,none,none,358881
Fulkoli-Kajipara,"675/1, West Kajipara, Mirpur",none,Dhaka,Digital weight scale,35,2,CAMRY,none,none,358882
Fulkoli-Rayerbag,"351/17/01, Noya Miah Market, Rayerbag",none,Dhaka,Digital weight scale,100,1,RFL,none,none,358883
Fulkoli-Rayerbag,"351/17/01, Noya Miah Market, Rayerbag",none,Dhaka,Digital weight scale,40,2,XPERT,none,none,358883
Fulkoli-Factory,"620/1, Borabo, Tarabo, Rupganj",none,Narayanganj,Digital weight scale,500,1,MEGA,none,none,358884
Fulkoli-Factory,"620/1, Borabo, Tarabo, Rupganj",none,Narayanganj,Digital weight scale,300,2,MEGA,none,none,358884
Fulkoli-Factory,"620/1, Borabo, Tarabo, Rupganj",none,Narayanganj,Digital weight scale,100,2,MEGA,none,none,358884
Fulkoli-Factory,"620/1, Borabo, Tarabo, Rupganj",none,Narayanganj,Digital weight scale,30,5,RFL,none,none,358884
Fulkoli-Factory,"620/1, Borabo, Tarabo, Rupganj",none,Narayanganj,Digital weight scale,20,5,MEGA,none,none,358884
