address,brand,capacity,quantity,memo,fee,denomination,weight_class,district,name
"Abedin Bhaban, Ground Floor, Shop#1/1, Sonir Akhra, Kadamtoli, Donia",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sonir Akhra"
"326 , Habib khan Tower,sontek,Jatra bari",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sontek , Jatrabari"
"60/1/A, Bramon Chiron, Golapbagh, Dhalpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Dholpur,Jatrabari"
"New -50 ,Old - 36/B,Zia Shoroni ,Polashpur ,Sonir Akhra , 60 no. ward ",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Sonir Akhra-2 ,Dhaka"
"Plot : 1362,Word no : 61 Mahmudul Haq khan Plaza ,Rayer Bag Bus stand ",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Rayer Bag Bus stand "
"5/3, Sher-E-Bangla Road, Katasur, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, katasur"
"99, Sat Mosque Road, 11/A, Dhanmondi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Dhanmondi "
"H # 45 ,Dil Mohammad avenue , Uddyan,Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Dhaka Uddan"
"H#B-50, Zakir Hossain Road, Lalmatia, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Lalmatia"
"House No : 360, Elephant Road, New Market",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-New market"
"H#10, Probal Housing, Road#02, Shaker Tek, Adabor, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Adabor"
"H # 11/09, Tazmohol Raod ,Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,Beyond Bytes Mohammodpur 
"37, Shyamoli Cinema Hall Building, Shyamoli",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Shyamoli"
"12/A, Riaz Uddin Market, Washpur, Bosila, Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Bosila "
"101, Sukrabad",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Sukrabad "
"House#118(New), Road#9/A(New), Dhanmondi",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-Shankor"
"Y,14/C, Rajia Sultana Road , Mohammadpur",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat, Mohammadpur"
"25/5, Domino Melodia, Jhigatola",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,Tasty Treat Zigatola 02 
"Hauli, Zinzira, Keranigong, (Opposite to press club)",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-ZINZIRA KERANIGONJ"
"BT Tower, Kodomtoli Chowrasta, Keranigonj.",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-KADOMTOLI CHOWRASTA"
"869,Jahangir Mention,Bagmara Bazar,Nababganj",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-BAGMARA BAZAR, NABABGONJ"
"409,Dewan Tower,Joypara bazar,Dohar",RFL Weight Scale,0 to 30 Kg,1,..605.31.003.21,200,none,none,Dhaka,"Tasty Treat,-JOYPARA BAZAR,DOHAR"
