name,address,thana,district,capacity,quantity,brand,model,serial,receipt,type
Shumi's HOT CAKE LTD,"8 J & J Mansion, Sobhanbagh",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," Sundaram Plaza20/3 North Dhanmondi, West Panthapath",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"House-50, Rd-11, Block-F, Banani",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"1, Baily Road, (Natok Sharani)",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Rupayan Center, 72, Mohakhali C/A",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"16, Bir Uttam C.R. Dutta Road, Hatirpul Bazar",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," 1/2, Chandi Charan Bose Street, Wari",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"401/A, Khilgaon",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Holding No-08, Plot-20 B/A DIT Rd Malibhag Chowdhury Para",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Ka-5C Bashundara Road, Badda",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Spring Rahmat-e-Tuba Complex, Plot-132, Rd-2, Sec-12, Mirpur",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"House-6, Ishakha Avenue, Sector-6, Uttara",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," House-19, Road-02, Mohammadi Housing Society, Mohammadpur",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," Shop-104, Holding-21/1, Hoque Mansion, Jigatola",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," Plot-2/1, Road-3, Block-A, Lalmatia, Mohammdpur",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"House-2, Road-6, Block-D, Banasree, Rampura, (Beside Global Ideal School & College)",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," House-121/D, Road-44, Gulshan-2, (Beside Gulshan Thana)",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Shop-101, Kunja-02, 572 Manikdi, Dhaka Cantonment.(ECB Chattar)",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Shop-78, Tejkunipara, Tejgoan",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," Road-10, House-1, Shop No.-7, Altaf Plaza, Dhanmondi",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Y-14/C, Taj Mahal Road/ Razia Sultana Road, Mohammadpur",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Shop No. 21, Holding No. 34/49, Sagufta, DOHS Road, Mirpur ",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Holding-6, Rd-2, Sector-3 Uttara",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"House-380, Rd-955, Block-B, Khilgoan Taltola, Rampura",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"House-20, Road-5, Sector-4, Uttara",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"284 Khan Mansion, Shop-02, Pullpar, Ibrahimpur, Kafrul",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," House-21, Sector-7, Sonargaon Janapath Road, Uttara",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"352/A, Road-27, Dhanmondi",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"750/A,  Monipur, Mirpur-2",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Shop No.1, 92 New Eskaton, Ramna",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"22/A Tipu Sultan Road, Wari",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"3/11 Asad Avenue, Mohammadpur",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD," 758 Shatmosjid Road Green City Centre GF -03, Dhanmondi C/A",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD,"Plot# 2 Road# 21 Gulshan 1, Surecell Medical",none,Dhaka,30,1,none,none,none,358858,Digital weight scale
Shumi's HOT CAKE LTD (Factory),"Plot-20, Rd-1, Lane-4, Block-A, Ward-7, Ahalia, Turag",none,Dhaka,100,3,none,none,none,358858,Digital weight scale
