name,address,memo,receipt,type,brand,capacity,quantity,denomination,weight_class,fee
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #৭৫৪, রোড #১৯, ধানমন্ডি",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #৩৫২/বি, রোড #২৭, ধানমন্ডি, ঢাকা",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৩০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #১৮/এ, রোড #৬, ধানমন্ডিপ্লাজা",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৩০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #২, প্রপার্টি অর্কেট, বেইলী রোড",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #২১, তোপখানা রোড, পল্টন",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৩০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #৪৮/১, হাতিরপুল, কলাবাগান",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৩০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"উত্তর সিটি কর্পোরেশন মার্কেট, গুলশান-২",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"১, আর কে মিশন রোড, টিকাটুলি",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"হাউজ #৫৫/এ, রোড #৪/এ, ধানমন্ডি",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"৩৬০, এলিফ্যান্ট রোড",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
বস সুইটস এন্ড ফুড লিমিটেড,"৩০/ক, র‍্যাংকিন স্ট্রীট, ওয়ারী",..৬০৫.৩২.০০১.২১,৩৫৪৯৬৭,ডিজিটাল ওয়েট স্কেল,RFL,৪০ কেজি,১,none,none,২০০
