name,address,district,capacity,fee,quantity,brand,denomination,weight_class,memo
Fry Bucket Bashundhara,"Ka-1/A, Jogonnathpur, Bashundhara Gate",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat -Hemayetpur Bus Stand,"Lalon tower & shopping complex ,Hemayetpur bus stand",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat -Daffodil International University,"Daffodil International University, Daffodli smart city, khagan, birulia",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat -Daffodil International University-2,"Daffodil International University, Daffodli smart city, khagan, birulia",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty treat- Bishmail Bus stand,"Bishmail Bus stand, savar",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat- Jahangirnagar University,"18 no hall, Jahangirnagar University",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty -Treat Uttara-10,"Road-13, house-33, sector-10",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty -Treat Uttara-15,"Uttara Mettro rail North station road, 9 avenue, sector 15/F, plot-13",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat - Uttara-5,"Uttara sector-5, Road-1, House-5, Beside johura market",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat - North Jatrabari,"72,North jatrabari,dulaipar road",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat - Dulaipar Bazar,"668,east dulaipar bazar, jatrabari",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat - Doinik Bangla more,"28-A/2-1.D.I.T Extension Road, Fakirafool, Motijheel",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat - Kawran Bazer,"Kazi Nazrul Avenue, Kawran Bazar, Opposite side of CA Bhaban",Dhaka,30,200,1,none,none,none,..605.31.003.21
Tasty Treat Board Bazer,"398, Hazi Samir Uddin Market, Board Bazar, Gasa",Gazipur,30,200,1,none,none,none,..605.31.003.21
