name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
Tasty Treat-Shafipur,"Haji Amjad hossain Super Market, Kaliakair",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Gazipur Chowrasta,"805,Auchpara, gazipur Chowrasta, ",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Gazipur bypass,"Ahasania Super market ,Vogra Bypass, ",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Joydevpur,"Selina Complex .Beside Jhumur cinema hall, Joydebpur",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tongi college gate,"Shop no 13,Tongi pilot school & college market, Tongi",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tongi Bazar,"Anar koli road,Tongi bazar, Tongi",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tongi Bonomala Road,"Tazimuddin Road ,Banamala Tongi, Tongi",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Joydevpur-2,"G119,Mosharraf Tower, Joydebpur",none,Gazipur,RFL,30,2,359505,Digital weight scale,none,none
Tasty Treat-Salna Bazar,"Salna Bazar,South Salna, Joydebpur",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Kaliakoir,"Tengla bari,College Road Near Bypass, Kaliakair",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Board Bazar,"398,haji samiruddin Market ,Gasa, ",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Chandana chowrasta,"Majid Mansion ,Joydevpur road ,Chandana Chowrasta, Gazipur Sadar",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-CHONDRA MORE,"Haji Ahammad ali Super market ,Chandra more, Kaliakair",none,Gazipur,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Manikgonj,"1/3, Shahid Rafiq Sarak, Manikganj Sadar",none,Manikganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Savar Palli Biddut,"Abdul Barek Mondal Market, Palli Biddut, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Savar EPZ,"Industrial Trade Centre,EPZ, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Singair Bus stand,"540,Riaz mention ,Singair Bus Stand, Singair",none,Manikganj,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT Dhamrai Bazar,Dhaka","52/A,Dhamrai Bazar, Dhamrai",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Jamgora,"Monsur Tower ,Jamgora chowrasta, Ashulia, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Bypile,"RMST Tower, Bypile, Ashulia, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Ashulia Bus stand,"Ashulia Bus stand, Ashulia, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Kalampur Bazar,"Kalampur Bazar, Dhamrai",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Zirabo,"Zirabo, Ashulia, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
