name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt
Tasty Treat-Alam plaza savar Bus stand,"B-122, Alam Plaza Savar Bus Stand, Beside Razzak Plaza & Savar City Center",Savar,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat-Chalantika More Outlet,"Road No-3,House No-2,Block-E Chalantika More, Mirpur-6",Mirpur,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat-Maona outlet,Maona Chowrasta,Sreepur,Gazipur,dw,30,1,RFL,none,none,604927
Tasty Treat Shreepur outlet,Shreepur Chowrasta,Sreepur,Gazipur,dw,30,1,RFL,none,none,604927
Tasty Treat Washpur outlet,"Washpur bus stand, Arshinagar",Keraniganj,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Sucrabad outlet,"101, Sukrabad",Dhanmondi,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat-Dhaka Uddyan outlet,"45, Haji din Mohammad Avenue, Dhaka Uddyan",Mohammadpur,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Lalmatia outlet,"Zakir Hossain road, H/B-50, Block-E, Lalmatia",none,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Jigatola-2 outlet,"25/5, Domino Melodia, Jigatola",Dhanmondi,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Hatirpul outlet,"156, S kamruzzaman sharani road,Hatirpul",none,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Moghbazar Mor Outlet,"Shop-3, Shahid Tajuddin Ahmed Sharani, Moghbazar",Ramna,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Aftabnagar Cafe,"Main road, House No-8, Block-B, Aftabnagar",Badda,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat-Bonosree A Block,"Road No-4, House No-32, Block-B, Banasree",Rampura,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Banani,"Road No-17, Hosue NO-16",Banani,Dhaka,dw,30,1,RFL,none,none,604927
Tasty Treat Banani-11,"Road No-11,House No-77",Banani,Dhaka,dw,30,1,RFL,none,none,604927
